speaker_id,trial_id,codec,source,attack,label_raw,trim,subset,vocoder,field10,field11,field12,field13,hf_label,position,shard,hf_shard,hf_shard_file
VCC2TF1,DF_E_4737185,low_mp3,vcc2018,HUB-N08,spoof,notrim,eval,traditional_vocoder,HUB,N08,FF,-,1,558233,72,72,test-00072-of-00080.parquet
LA_0032,DF_E_4732500,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,557287,72,72,test-00072-of-00080.parquet
TEF2,DF_E_3083299,oggm4a,vcc2020,Task1-team14,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team14,MF,E,1,221256,28,28,test-00028-of-00080.parquet
SEF2,DF_E_4731904,high_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,557172,72,72,test-00072-of-00080.parquet
TMM1,DF_E_4548022,low_m4a,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,FM,M,1,519700,67,67,test-00067-of-00080.parquet
TGM1,DF_E_2976781,low_ogg,vcc2020,Task2-team24,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team24,FM,G,1,199399,26,26,test-00026-of-00080.parquet
VCC2SF2,DF_E_3001420,mp3m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,204526,26,26,test-00026-of-00080.parquet
VCC2TF2,DF_E_4513669,high_m4a,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,FF,-,1,512779,67,67,test-00067-of-00080.parquet
VCC2SF2,DF_E_4530363,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,516150,67,67,test-00067-of-00080.parquet
VCC2TF2,DF_E_4704966,mp3m4a,vcc2018,SPO-N12,spoof,notrim,eval,traditional_vocoder,SPO,N12,MF,-,1,551686,72,72,test-00072-of-00080.parquet
LA_0005,DF_E_2990561,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,202221,26,26,test-00026-of-00080.parquet
VCC2TM1,DF_E_4513063,high_ogg,vcc2018,HUB-N03,spoof,notrim,eval,unknown,HUB,N03,FM,-,1,512661,67,67,test-00067-of-00080.parquet
VCC2TF1,DF_E_4837050,nocodec,vcc2018,HUB-N08,spoof,notrim,eval,traditional_vocoder,HUB,N08,FF,-,1,578544,75,75,test-00075-of-00080.parquet
VCC2SM3,DF_E_4514657,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,513002,67,67,test-00067-of-00080.parquet
VCC2SM1,DF_E_4535647,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,517247,67,67,test-00067-of-00080.parquet
LA_0036,DF_E_3085538,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,221699,28,28,test-00028-of-00080.parquet
LA_0013,DF_E_3057681,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,216050,28,28,test-00028-of-00080.parquet
LA_0047,DF_E_3072969,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,219247,28,28,test-00028-of-00080.parquet
TGM1,DF_E_3082374,low_ogg,vcc2020,Task2-team08,spoof,notrim,eval,traditional_vocoder,Task2,team08,FM,G,1,221073,28,28,test-00028-of-00080.parquet
LA_0011,DF_E_2996347,high_ogg,asvspoof,A10,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,1,203476,26,26,test-00026-of-00080.parquet
VCC2TF1,DF_E_4517912,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,513649,67,67,test-00067-of-00080.parquet
TEM1,DF_E_2990628,high_m4a,vcc2020,Task1-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team31,MM,E,1,202234,26,26,test-00026-of-00080.parquet
TMM1,DF_E_4519595,low_m4a,vcc2020,Task2-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team31,FM,M,1,513973,67,67,test-00067-of-00080.parquet
TFM1,DF_E_3048975,high_ogg,vcc2020,Task2-team05,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team05,FM,F,1,214246,28,28,test-00028-of-00080.parquet
LA_0027,DF_E_4835792,high_mp3,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,1,578281,75,75,test-00075-of-00080.parquet
VCC2SF4,DF_E_4542610,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,518640,67,67,test-00067-of-00080.parquet
VCC2TF2,DF_E_2992842,low_m4a,vcc2018,SPO-N18,spoof,notrim,eval,traditional_vocoder,SPO,N18,FF,-,1,202700,26,26,test-00026-of-00080.parquet
VCC2TM1,DF_E_4526683,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,515417,67,67,test-00067-of-00080.parquet
LA_0014,DF_E_2996047,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,203416,26,26,test-00026-of-00080.parquet
LA_0019,DF_E_4539838,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,518090,67,67,test-00067-of-00080.parquet
LA_0013,DF_E_3074263,low_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,219486,28,28,test-00028-of-00080.parquet
TFF1,DF_E_2986753,high_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,201414,26,26,test-00026-of-00080.parquet
LA_0032,DF_E_4517779,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,513630,67,67,test-00067-of-00080.parquet
VCC2TM1,DF_E_2994984,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,203159,26,26,test-00026-of-00080.parquet
VCC2TF2,DF_E_4726672,mp3m4a,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,FF,-,1,556125,72,72,test-00072-of-00080.parquet
LA_0063,DF_E_4817707,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,574547,75,75,test-00075-of-00080.parquet
TGF1,DF_E_3079314,high_mp3,vcc2020,Task2-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team20,MF,G,1,220462,28,28,test-00028-of-00080.parquet
LA_0028,DF_E_4533522,mp3m4a,asvspoof,A12,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,1,516814,67,67,test-00067-of-00080.parquet
