sample_id,trial_id,speaker_id,audio_path,label,label_name,codec,source,attack,trim,subset,vocoder,language,transaction_amount,transaction_currency,transaction_type,recipient_new,prior_transactions,time_since_last_transaction,speaker_baseline_available,source_dataset,source_distribution,consent_status
asvspoof2021_df_DF_E_4737185,DF_E_4737185,VCC2TF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4737185.flac,1,spoof,low_mp3,vcc2018,HUB-N08,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4732500,DF_E_4732500,LA_0032,data/raw/audio/asvspoof2021_df/audio/DF_E_4732500.flac,0,bonafide,low_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3083299,DF_E_3083299,TEF2,data/raw/audio/asvspoof2021_df/audio/DF_E_3083299.flac,1,spoof,oggm4a,vcc2020,Task1-team14,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4731904,DF_E_4731904,SEF2,data/raw/audio/asvspoof2021_df/audio/DF_E_4731904.flac,0,bonafide,high_mp3,vcc2020,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4548022,DF_E_4548022,TMM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4548022.flac,1,spoof,low_m4a,vcc2020,Task2-team06,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2976781,DF_E_2976781,TGM1,data/raw/audio/asvspoof2021_df/audio/DF_E_2976781.flac,1,spoof,low_ogg,vcc2020,Task2-team24,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3001420,DF_E_3001420,VCC2SF2,data/raw/audio/asvspoof2021_df/audio/DF_E_3001420.flac,0,bonafide,mp3m4a,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4513669,DF_E_4513669,VCC2TF2,data/raw/audio/asvspoof2021_df/audio/DF_E_4513669.flac,1,spoof,high_m4a,vcc2018,HUB-N18,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4530363,DF_E_4530363,VCC2SF2,data/raw/audio/asvspoof2021_df/audio/DF_E_4530363.flac,0,bonafide,low_ogg,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4704966,DF_E_4704966,VCC2TF2,data/raw/audio/asvspoof2021_df/audio/DF_E_4704966.flac,1,spoof,mp3m4a,vcc2018,SPO-N12,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2990561,DF_E_2990561,LA_0005,data/raw/audio/asvspoof2021_df/audio/DF_E_2990561.flac,0,bonafide,mp3m4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4513063,DF_E_4513063,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4513063.flac,1,spoof,high_ogg,vcc2018,HUB-N03,notrim,eval,unknown,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4837050,DF_E_4837050,VCC2TF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4837050.flac,1,spoof,nocodec,vcc2018,HUB-N08,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4514657,DF_E_4514657,VCC2SM3,data/raw/audio/asvspoof2021_df/audio/DF_E_4514657.flac,0,bonafide,low_m4a,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4535647,DF_E_4535647,VCC2SM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4535647.flac,0,bonafide,low_mp3,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3085538,DF_E_3085538,LA_0036,data/raw/audio/asvspoof2021_df/audio/DF_E_3085538.flac,0,bonafide,oggm4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3057681,DF_E_3057681,LA_0013,data/raw/audio/asvspoof2021_df/audio/DF_E_3057681.flac,0,bonafide,mp3m4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3072969,DF_E_3072969,LA_0047,data/raw/audio/asvspoof2021_df/audio/DF_E_3072969.flac,0,bonafide,low_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3082374,DF_E_3082374,TGM1,data/raw/audio/asvspoof2021_df/audio/DF_E_3082374.flac,1,spoof,low_ogg,vcc2020,Task2-team08,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2996347,DF_E_2996347,LA_0011,data/raw/audio/asvspoof2021_df/audio/DF_E_2996347.flac,1,spoof,high_ogg,asvspoof,A10,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4517912,DF_E_4517912,VCC2TF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4517912.flac,0,bonafide,high_m4a,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2990628,DF_E_2990628,TEM1,data/raw/audio/asvspoof2021_df/audio/DF_E_2990628.flac,1,spoof,high_m4a,vcc2020,Task1-team31,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4519595,DF_E_4519595,TMM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4519595.flac,1,spoof,low_m4a,vcc2020,Task2-team31,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3048975,DF_E_3048975,TFM1,data/raw/audio/asvspoof2021_df/audio/DF_E_3048975.flac,1,spoof,high_ogg,vcc2020,Task2-team05,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4835792,DF_E_4835792,LA_0027,data/raw/audio/asvspoof2021_df/audio/DF_E_4835792.flac,1,spoof,high_mp3,asvspoof,A07,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4542610,DF_E_4542610,VCC2SF4,data/raw/audio/asvspoof2021_df/audio/DF_E_4542610.flac,0,bonafide,high_mp3,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2992842,DF_E_2992842,VCC2TF2,data/raw/audio/asvspoof2021_df/audio/DF_E_2992842.flac,1,spoof,low_m4a,vcc2018,SPO-N18,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4526683,DF_E_4526683,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4526683.flac,0,bonafide,low_ogg,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2996047,DF_E_2996047,LA_0014,data/raw/audio/asvspoof2021_df/audio/DF_E_2996047.flac,0,bonafide,high_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4539838,DF_E_4539838,LA_0019,data/raw/audio/asvspoof2021_df/audio/DF_E_4539838.flac,0,bonafide,nocodec,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3074263,DF_E_3074263,LA_0013,data/raw/audio/asvspoof2021_df/audio/DF_E_3074263.flac,0,bonafide,low_mp3,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2986753,DF_E_2986753,TFF1,data/raw/audio/asvspoof2021_df/audio/DF_E_2986753.flac,0,bonafide,high_m4a,vcc2020,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4517779,DF_E_4517779,LA_0032,data/raw/audio/asvspoof2021_df/audio/DF_E_4517779.flac,0,bonafide,high_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2994984,DF_E_2994984,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_2994984.flac,0,bonafide,high_ogg,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4726672,DF_E_4726672,VCC2TF2,data/raw/audio/asvspoof2021_df/audio/DF_E_4726672.flac,1,spoof,mp3m4a,vcc2018,SPO-N06,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4817707,DF_E_4817707,LA_0063,data/raw/audio/asvspoof2021_df/audio/DF_E_4817707.flac,0,bonafide,low_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3079314,DF_E_3079314,TGF1,data/raw/audio/asvspoof2021_df/audio/DF_E_3079314.flac,1,spoof,high_mp3,vcc2020,Task2-team20,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4533522,DF_E_4533522,LA_0028,data/raw/audio/asvspoof2021_df/audio/DF_E_4533522.flac,1,spoof,mp3m4a,asvspoof,A12,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4697215,DF_E_4697215,TMM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4697215.flac,1,spoof,low_ogg,vcc2020,Task2-team13,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4696378,DF_E_4696378,LA_0028,data/raw/audio/asvspoof2021_df/audio/DF_E_4696378.flac,0,bonafide,oggm4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4709629,DF_E_4709629,TEM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4709629.flac,0,bonafide,low_mp3,vcc2020,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4824764,DF_E_4824764,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4824764.flac,1,spoof,low_ogg,vcc2018,HUB-N17,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4834380,DF_E_4834380,VCC2SM2,data/raw/audio/asvspoof2021_df/audio/DF_E_4834380.flac,0,bonafide,mp3m4a,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
