speaker_id,trial_id,codec,source,attack,label,trim,subset,vocoder,field10,field11,field12,field13
TFF1,DF_E_4923632,nocodec,vcc2020,Task2-team32,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team32,MF,F
VCC2TM2,DF_E_3374443,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFM1,DF_E_4183813,low_m4a,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,FM,F
LA_0044,DF_E_4985395,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF1,DF_E_3791195,high_ogg,vcc2018,SPO-N11,spoof,notrim,eval,traditional_vocoder,SPO,N11,FF,-
TGM1,DF_E_2613245,high_ogg,vcc2020,Task2-team10,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team10,MM,G
VCC2TM1,DF_E_3254236,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_3209593,mp3m4a,vcc2018,SPO-N04,spoof,notrim,eval,traditional_vocoder,SPO,N04,FM,-
VCC2SM3,DF_E_2831248,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_4454657,high_ogg,vcc2020,Task1-team06,spoof,notrim,eval,traditional_vocoder,Task1,team06,FM,E
LA_0046,DF_E_2823098,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2259085,high_ogg,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,MM,-
VCC2TM2,DF_E_4668897,high_mp3,vcc2018,SPO-N03,spoof,notrim,eval,unknown,SPO,N03,MM,-
LA_0040,DF_E_2894452,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
SEF2,DF_E_4382674,low_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0008,DF_E_3659955,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0029,DF_E_4015349,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0003,DF_E_4162082,high_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_3133374,low_ogg,vcc2018,SPO-N05,spoof,notrim,eval,traditional_vocoder,SPO,N05,MM,-
TMM1,DF_E_3204719,nocodec,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,FM,M
LA_0021,DF_E_2061999,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF2,DF_E_2376806,low_ogg,vcc2018,HUB-D05,spoof,notrim,eval,traditional_vocoder,HUB,D05,MF,-
VCC2TM2,DF_E_4967815,oggm4a,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,MM,-
TEM2,DF_E_3988172,high_m4a,vcc2020,Task1-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team11,MM,E
VCC2TF1,DF_E_2807935,oggm4a,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,FF,-
LA_0043,DF_E_3328449,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TMM1,DF_E_3930869,high_mp3,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,MM,M
LA_0028,DF_E_2879339,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF2,DF_E_4824234,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM3,DF_E_2414524,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF3,DF_E_2970010,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0003,DF_E_3437321,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0019,DF_E_4985047,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM2,DF_E_4681101,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_2347800,high_m4a,vcc2020,Task1-team14,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team14,MM,E
VCC2TF2,DF_E_3365854,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TGM1,DF_E_2663902,low_ogg,vcc2020,Task2-team23,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team23,MM,G
LA_0041,DF_E_4229890,high_ogg,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-
TGM1,DF_E_2769079,high_m4a,vcc2020,Task2-team05,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team05,MM,G
VCC2SF1,DF_E_4477656,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0036,DF_E_4041491,high_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2964946,oggm4a,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,FM,-
LA_0014,DF_E_2878301,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF3,DF_E_2865615,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0033,DF_E_4712727,low_ogg,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-
LA_0011,DF_E_4385462,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
SEM2,DF_E_3046882,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0051,DF_E_4666488,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_4247252,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_3412290,low_ogg,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,MM,-
VCC2TM1,DF_E_4669716,low_mp3,vcc2018,HUB-N17,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N17,MM,-
TGM1,DF_E_3854101,high_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF2,DF_E_4542594,low_mp3,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,FF,-
VCC2SF1,DF_E_2033328,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0017,DF_E_4406569,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0046,DF_E_3027728,mp3m4a,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-
TMF1,DF_E_3176556,high_ogg,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,MF,M
TMF1,DF_E_3970021,mp3m4a,vcc2020,Task2-team08,spoof,notrim,eval,traditional_vocoder,Task2,team08,FF,M
VCC2TM1,DF_E_3914911,high_mp3,vcc2018,HUB-N08,spoof,notrim,eval,traditional_vocoder,HUB,N08,MM,-
VCC2SF1,DF_E_2974149,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_3259550,low_mp3,vcc2020,Task2-team12,spoof,notrim,eval,traditional_vocoder,Task2,team12,MF,F
LA_0014,DF_E_2251120,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF2,DF_E_4103973,low_ogg,vcc2018,SPO-N16,spoof,notrim,eval,traditional_vocoder,SPO,N16,FF,-
TFM1,DF_E_3858958,high_m4a,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,MM,F
TFM1,DF_E_3156119,oggm4a,vcc2020,Task2-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team31,MM,F
VCC2TF2,DF_E_3871582,nocodec,vcc2018,HUB-N20,spoof,notrim,eval,traditional_vocoder,HUB,N20,MF,-
LA_0051,DF_E_2620215,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF1,DF_E_4458121,low_mp3,vcc2018,HUB-N09,spoof,notrim,eval,traditional_vocoder,HUB,N09,FF,-
VCC2TM2,DF_E_4078389,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_4763960,low_mp3,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FM,-
VCC2TF1,DF_E_2339845,low_mp3,vcc2018,SPO-N05,spoof,notrim,eval,traditional_vocoder,SPO,N05,FF,-
LA_0033,DF_E_4238399,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TGM1,DF_E_4303799,low_m4a,vcc2020,Task2-team15,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team15,MM,G
VCC2TF2,DF_E_3715478,high_m4a,vcc2018,HUB-N08,spoof,notrim,eval,traditional_vocoder,HUB,N08,FF,-
LA_0015,DF_E_2667085,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0028,DF_E_4476637,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_4225119,low_ogg,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,MM,-
LA_0005,DF_E_3024545,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0028,DF_E_3090532,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0039,DF_E_3983129,nocodec,asvspoof,A10,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-
LA_0049,DF_E_4302284,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEF1,DF_E_3178006,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_3394559,low_mp3,vcc2020,Task1-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team11,FM,E
