speaker_id,trial_id,codec,source,attack,label,trim,subset,vocoder,field10,field11,field12,field13,hf_row_index,hf_shard,hf_shard_file
TFF1,DF_E_4923632,nocodec,vcc2020,Task2-team32,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team32,MF,F,596274,77,test-00077-of-00080.parquet
VCC2TM2,DF_E_3374443,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,280399,36,test-00036-of-00080.parquet
TFM1,DF_E_4183813,low_m4a,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,FM,F,445430,58,test-00058-of-00080.parquet
LA_0044,DF_E_4985395,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,608837,79,test-00079-of-00080.parquet
VCC2TF1,DF_E_3791195,high_ogg,vcc2018,SPO-N11,spoof,notrim,eval,traditional_vocoder,SPO,N11,FF,-,365437,47,test-00047-of-00080.parquet
TGM1,DF_E_2613245,high_ogg,vcc2020,Task2-team10,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team10,MM,G,125244,16,test-00016-of-00080.parquet
VCC2TM1,DF_E_3254236,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,256096,33,test-00033-of-00080.parquet
VCC2TM1,DF_E_3209593,mp3m4a,vcc2018,SPO-N04,spoof,notrim,eval,traditional_vocoder,SPO,N04,FM,-,246973,32,test-00032-of-00080.parquet
VCC2SM3,DF_E_2831248,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,169633,22,test-00022-of-00080.parquet
TEM2,DF_E_4454657,high_ogg,vcc2020,Task1-team06,spoof,notrim,eval,traditional_vocoder,Task1,team06,FM,E,500721,65,test-00065-of-00080.parquet
LA_0046,DF_E_2823098,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,167954,21,test-00021-of-00080.parquet
VCC2TM1,DF_E_2259085,high_ogg,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,MM,-,52821,6,test-00006-of-00080.parquet
VCC2TM2,DF_E_4668897,high_mp3,vcc2018,SPO-N03,spoof,notrim,eval,unknown,SPO,N03,MM,-,544311,71,test-00071-of-00080.parquet
LA_0040,DF_E_2894452,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,182599,23,test-00023-of-00080.parquet
SEF2,DF_E_4382674,low_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,486044,63,test-00063-of-00080.parquet
LA_0008,DF_E_3659955,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,338942,44,test-00044-of-00080.parquet
LA_0029,DF_E_4015349,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,410989,53,test-00053-of-00080.parquet
LA_0003,DF_E_4162082,high_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,440998,57,test-00057-of-00080.parquet
VCC2TM1,DF_E_3133374,low_ogg,vcc2018,SPO-N05,spoof,notrim,eval,traditional_vocoder,SPO,N05,MM,-,231388,30,test-00030-of-00080.parquet
TMM1,DF_E_3204719,nocodec,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,FM,M,245994,32,test-00032-of-00080.parquet
LA_0021,DF_E_2061999,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,12599,1,test-00001-of-00080.parquet
VCC2TF2,DF_E_2376806,low_ogg,vcc2018,HUB-D05,spoof,notrim,eval,traditional_vocoder,HUB,D05,MF,-,76731,10,test-00010-of-00080.parquet
VCC2TM2,DF_E_4967815,oggm4a,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,MM,-,605182,79,test-00079-of-00080.parquet
TEM2,DF_E_3988172,high_m4a,vcc2020,Task1-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team11,MM,E,405461,53,test-00053-of-00080.parquet
VCC2TF1,DF_E_2807935,oggm4a,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,FF,-,164804,21,test-00021-of-00080.parquet
LA_0043,DF_E_3328449,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,271020,35,test-00035-of-00080.parquet
TMM1,DF_E_3930869,high_mp3,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,MM,M,393880,51,test-00051-of-00080.parquet
LA_0028,DF_E_2879339,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,179530,23,test-00023-of-00080.parquet
VCC2SF2,DF_E_4824234,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,575875,75,test-00075-of-00080.parquet
VCC2SM3,DF_E_2414524,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,84386,11,test-00011-of-00080.parquet
VCC2SF3,DF_E_2970010,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,198039,25,test-00025-of-00080.parquet
LA_0003,DF_E_3437321,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,293308,38,test-00038-of-00080.parquet
LA_0019,DF_E_4985047,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,608768,79,test-00079-of-00080.parquet
VCC2SM2,DF_E_4681101,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,546824,71,test-00071-of-00080.parquet
TEM2,DF_E_2347800,high_m4a,vcc2020,Task1-team14,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team14,MM,E,70893,9,test-00009-of-00080.parquet
VCC2TF2,DF_E_3365854,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,278729,36,test-00036-of-00080.parquet
TGM1,DF_E_2663902,low_ogg,vcc2020,Task2-team23,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team23,MM,G,135657,17,test-00017-of-00080.parquet
LA_0041,DF_E_4229890,high_ogg,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,454811,59,test-00059-of-00080.parquet
TGM1,DF_E_2769079,high_m4a,vcc2020,Task2-team05,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team05,MM,G,156936,20,test-00020-of-00080.parquet
VCC2SF1,DF_E_4477656,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,505416,66,test-00066-of-00080.parquet
LA_0036,DF_E_4041491,high_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,416407,54,test-00054-of-00080.parquet
